Are you a first-year student?,Are you an international student?,"When you need a seat in the library and see a table with some empty space but already occupied by other students, what would you usually do?","If you try to share a table but the other student looks unfriendly or does not respond, you would:","When you feel that people around you are being noisy or disturbing, what would you do?",How anxious do you usually feel in situations where you think others are noisy but you feel too embarrassed to speak up?,"In the library quiet zone, what kinds of support or features would help you better express your needs and reduce anxiety? (Select all that apply)","In a Quiet Zone, I’m reluctant to initiate communication with strangers. ",I worry about disturbing others or being noticed. ,I would be more willing to express needs if there were non-disruptive ways.,I prefer anonymous or low-visibility ways to communicate.,"In unfamiliar cultural/linguistic contexts, it’s harder for me to speak up in a Quiet Zone. ","How acceptable are the following in a Quiet Zone?
1. Selecting on the desk whether you’re open to sharing a seat. ","2. Sending a gentle, non-verbal “lower volume” nudge to nearby desks.","3. Displaying “I’m open to being asked for help” status, visible but non-intrusive.","If these options exist, in what situations would you use them? ",How would you prefer others to notice (or not notice) your status? ,Which factors would make you feel safer/more comfortable? (Select all that match),Do language/cultural differences affect how you communicate in the Quiet Zone?,Please share an experience when you felt uncomfortable in the library because you were “too embarrassed to speak up.”
Yes,Yes,Leave directly and look for another seat,Feel uncomfortable but still sit down,Endure it by using headphones or other methods,5,"“Please be quiet” reminder function;Directly see if the seat is available;Environmental indicators (e.g., current noise level of the area)",,,,,,,,,,,,,I feel bad if I need to talk with my team mate
No,Yes,"Wait and observe for a while, but leave in the end",Keep trying to communicate,Leave and move to another place,3,Directly see if the seat is available,,,,,,,,,,,,,
No,Yes,"Wait and observe for a while, but leave in the end",Give up and look for another seat,Endure it by using headphones or other methods,4,Directly see if the seat is available;Translation/simple communication assistance,,,,,,,,,,,,,I walked around the library but didn't sit down.
Yes,No,Actively ask if I can share the table,Give up and look for another seat,Endure it by using headphones or other methods,3,"Translation/simple communication assistance;Environmental indicators (e.g., current noise level of the area)",,,,,,,,,,,,,
No,Yes,"Wait and observe for a while, but leave in the end",Keep trying to communicate,Endure it by using headphones or other methods,3,“Please be quiet” reminder function;Translation/simple communication assistance,,,,,,,,,,,,,
No,Yes,"Wait and observe for a while, but leave in the end",Feel uncomfortable but still sit down,Actively remind them to keep quiet,3,Translation/simple communication assistance,,,,,,,,,,,,,
Yes,No,"Wait and observe for a while, but leave in the end",Feel uncomfortable but still sit down,Leave and move to another place,3,Directly see if the seat is available;Translation/simple communication assistance,,,,,,,,,,,,,
Yes,Yes,Leave directly and look for another seat,Give up and look for another seat,Leave and move to another place,5,"Translation/simple communication assistance;Environmental indicators (e.g., current noise level of the area)",,,,,,,,,,,,,no seat thats suitable for me
No,Yes,"Wait and observe for a while, but leave in the end",Feel uncomfortable but still sit down,Endure it by using headphones or other methods,3,"“Please be quiet” reminder function;Directly see if the seat is available;Environmental indicators (e.g., current noise level of the area)",,,,,,,,,,,,,
Yes,Yes,Leave directly and look for another seat,Feel uncomfortable but still sit down,Actively remind them to keep quiet,2,Translation/simple communication assistance,,,,,,,,,,,,,
No,No,Leave directly and look for another seat,Give up and look for another seat,Endure it by using headphones or other methods,2,"Directly see if the seat is available;Translation/simple communication assistance;Environmental indicators (e.g., current noise level of the area)",,,,,,,,,,,,,
No,Yes,Actively ask if I can share the table,Give up and look for another seat,Endure it by using headphones or other methods,3,"“Please be quiet” reminder function;Directly see if the seat is available;Translation/simple communication assistance;Environmental indicators (e.g., current noise level of the area)",,,,,,,,,,,,,
No,No,Actively ask if I can share the table,Keep trying to communicate,Endure it by using headphones or other methods,3,“Please be quiet” reminder function;Directly see if the seat is available;Translation/simple communication assistance,,,,,,,,,,,,,
Yes,No,"Wait and observe for a while, but leave in the end",Give up and look for another seat,Leave and move to another place,2,"Directly see if the seat is available;Translation/simple communication assistance;Environmental indicators (e.g., current noise level of the area)",,,,,,,,,,,,,
No,Yes,Leave directly and look for another seat,Give up and look for another seat,Leave and move to another place,3,Translation/simple communication assistance,3,4,3,Strongly agree,,,,,,,,,有一次我们小组决定去排练一下演讲没找到地方就去了图书馆，不好意思大声说话
Yes,Yes,Leave directly and look for another seat,Give up and look for another seat,Leave and move to another place,3,"“Please be quiet” reminder function;Directly see if the seat is available;Translation/simple communication assistance;Environmental indicators (e.g., current noise level of the area)",3,4,4,Strongly agree,Strongly agree,2,3,,,,,,大家都很安静自然不会大声说话
Yes,Yes,Leave directly and look for another seat,Give up and look for another seat,Endure it by using headphones or other methods,3,"“Please be quiet” reminder function;Directly see if the seat is available;Translation/simple communication assistance;Environmental indicators (e.g., current noise level of the area)",3,3,3,Strongly agree,Strongly agree,2,2,2,我感觉专门在桌子上写是否愿意接受帮助或者是否愿意与人共用有点尴尬，甚至写出来别人看见觉得你是一个冷漠的人，等于莫名其妙给自己贴标签,我觉得如果我在看书很专注我希望别人注意到我这个状态就保持安静,,,
Yes,Yes,Leave directly and look for another seat,Give up and look for another seat,Leave and move to another place,4,Directly see if the seat is available,3,4,4,Strongly agree,Strongly agree,4,3,3,When I feel too noisy around,Very prefer but don't want to offense others,"Clear zoning signs;Controllable visibility (e.g., only nearby);Lightweight interactions (one-tap);Easy to withdraw/cancel",Not at all,A group of students talking around
Yes,Yes,Leave directly and look for another seat,Feel uncomfortable but still sit down,Leave and move to another place,4,“Please be quiet” reminder function,5,4,5,5,5,3,5,4,在自习时，如果对方声音太大但又不敢直接说，会用非语言提醒,最好只有周围的人能看到，不要太显眼,"Controllable visibility (e.g., only nearby);Polite tone of prompts",Sometimes,有一次旁边一群同学讨论作业声音很大，我想说但又怕尴尬，只能换了座位
Yes,Yes,Actively ask if I can share the table,Keep trying to communicate,Actively remind them to keep quiet,2,Directly see if the seat is available,3,2,4,3,2,5,4,5,如果是考试复习周，我会主动用来寻找合适位置,可以在桌面小图标上显示，不用大屏幕提示,Clear zoning signs;Lightweight interactions (one-tap),Not at all,大多数时候我会直接开口提醒，所以不太有不舒服的经历
No,Yes,"Wait and observe for a while, but leave in the end",Give up and look for another seat,Endure it by using headphones or other methods,5,Translation/simple communication assistance,5,5,5,5,5,4,5,3,当语言沟通障碍让我不敢说话时，特别需要非语言方式,最好完全匿名，别人不知道是我发出的提示,"Controllable visibility (e.g., only nearby);Polite tone of prompts;Translation aid",A lot,刚到澳洲时，怕英语不够好，不敢提醒别人小声一点，心里很焦虑
No,No,"Wait and observe for a while, but leave in the end",Feel uncomfortable but still sit down,Endure it by using headphones or other methods,3,"Directly see if the seat is available;Environmental indicators (e.g., current noise level of the area)",2,3,4,4,3,5,4,5,主要在小组学习或考试复习的时候,桌面上的简洁图标就够了,Clear zoning signs;Lightweight interactions (one-tap);Easy to withdraw/cancel,Sometimes,"Once someone next to me made a phone call, I didn't say anything, but it didn't really matter and I just endured it."
No,No,Leave directly and look for another seat,Give up and look for another seat,Leave and move to another place,5,"“Please be quiet” reminder function;Translation/simple communication assistance;Environmental indicators (e.g., current noise level of the area)",5,5,5,5,4,2,5,3,"In almost all cases, as long as the environment is noisy, I will use non-verbal means.",It must be kept so low-key that it goes almost unnoticed by anyone.It must be kept so low-key that it goes almost unnoticed by anyone.,"Controllable visibility (e.g., only nearby);Polite tone of prompts;Easy cancel",Often,"Once the person opposite me was eating snacks very loudly. I felt very uneasy, but in the end I had to endure it until they left."
No,No,"Wait and observe for a while, but leave in the end",Give up and look for another seat,Endure it by using headphones or other methods,1,Seat availability、Clear zoning signs,1,2,3,2,1,5,3,5,"When I'm in a hurry or when I'm preparing for a review session, I need to quickly find a seat.",It doesn't matter if everyone sees it.,Clear zoning signs;Lightweight interactions (one-tap),Not at all,I usually just say that I haven't had any embarrassing moments at all.
Yes,Yes,"Wait and observe for a while, but leave in the end",Give up and look for another seat,Leave and move to another place,4,“Please be quiet” reminder function,4,4,4,4,3,3,4,4,在考试复习季，图书馆特别满的时候,最好能设置只对近邻可见,"Controllable visibility (e.g., only nearby);Easy to withdraw/cancel;Polite tone of prompts",Sometimes,旁边聊天的同学声音大，我想说但犹豫很久，最后还是走开了
Yes,Yes,Leave directly and look for another seat,Feel uncomfortable but still sit down,Endure it by using headphones or other methods,5,Translation/simple communication assistance,5,5,5,5,5,4,5,4,只要我听不懂别人语言时，几乎都会依赖这种功能,希望完全匿名，只有系统提示，不显示是谁,"Clear zoning signs;Controllable visibility (e.g., only nearby);Translation aid",A lot,第一次去图书馆时，听不懂别人说什么，感觉他们在讨论我，就特别紧张
