What is your current student status?,Your background:,How long do you usually stay at Library?,How do you usually choose a seat at library?(Select all that apply),"In the past month, have you visited a library And the Quiet Zone area?",Main reasons for using a Quiet Zone? (Select all that apply),"When you using quiet zone area, what is hard to you","When you need to share a desk temporarily, what do you usually do?"
First-year student,International student,<60mins,First available,Yes,Writing/Assignments,Getting help,Ask verbally
Other,Domestic student,<60mins,First available,No,Silent group work,Getting help,Ask verbally
First-year student,Prefer not to say,<90 mins,Far from others;Near power outlets,Yes,Writing/Assignments;Waiting for next course,Make sound;Conversing,It depends
First-year student,International student,<180 mins,Window/lighting,Visited library but did not go to Quiet Zone area,Waiting for next course,Make sound;Conversing,It depends
Other,Domestic student,<90 mins,Far from others,Yes,Writing/Assignments,Hard to find spare seats,Give up/find another seat
First-year student,International student,<90 mins,Near power outlets,No,Haven't use it yet,Haven't use it yet,Ask verbally
Other,Prefer not to say,<60mins,First available,Yes,Waiting for next course,Getting help;Conversing,Gestures/eye contact
Other,International student,<60mins,Far from others;Near power outlets;Window/lighting,No,我一般回家，因为很多时候并没有觉得图书馆更有学习氛围反而多了很多干扰因素,Conversing;,Ask verbally
Other,International student,<90 mins,Far from others;Near power outlets;Window/lighting,Yes,Silent group work;Waiting for next course,Make sound;Conversing,Ask verbally
First-year student,International student,<180 mins,First available;Far from others;Near power outlets;Window/lighting,Yes,Writing/Assignments;Silent group work;Waiting for next course,Make sound;Conversing,It depends
